Need,Tele
Delete,Millet
NeedDelete,TeleMillet
is,By
Test,Life
isTest,ByLife
Keys,Prey
outline,Cheaply
Vertex,Scarce
List,Trip
outlineVertexList,CheaplyScarceTrip
_outlineVertexList,_CheaplyScarceTrip
vertex,Create
vertexList,CreateTrip
_vertexList,_CreateTrip
CHANNEL,CHANNEL
ID,ID
CHANNEL_ID,CHANNEL_ID
url,Bag
Scheme,Immune
urlScheme,BagImmune
m,m
Vetex,Mercy
VetexList,MercyTrip
m_VetexList,m_MercyTrip
Data,Line
Suit,Leap
Image,Fifth
SuitImage,LeapFifth
Little,Hiccup
LittleSuitImage,HiccupLeapFifth
Value,Dodge
Text,Moss
ValueText,DodgeMoss
Back,Sort
BackImage,SortFifth
original,Sexually
Position,Citation
originalPosition,SexuallyCitation
Parent,Quasar
originalParent,SexuallyQuasar
dragging,Overcast
Cards,Brass
draggingCards,OvercastBrass
Dragging,Decision
isDragging,ByDecision
Special,Briefly
Effect,Guinea
SpecialEffect,BrieflyGuinea
Scratch,Thrifty
Card,Keel
ScratchCard,ThriftyKeel
Special_ScratchCard,Briefly_ThriftyKeel
Lucky,Await
Wheel,Faith
LuckyWheel,AwaitFaith
Special_LuckyWheel,Briefly_AwaitFaith
Cash,Note
Special_Cash,Briefly_Note
Prefab,Quiver
CardPrefab,KeelQuiver
Sprites,Outflow
SuitSprites,LeapOutflow
Texts,Vogue
ValueTexts,DodgeVogue
Gap,Inn
Y,Y
Gap_Y,Inn_Y
Up,Of
Deck,Pram
UpDeck,OfPram
Face,High
FaceUp,HighOf
UpDeck_FaceUp,OfPram_HighOf
Down,Pink
FaceDown,HighPink
UpDeck_FaceDown,OfPram_HighPink
Area,Peck
UpArea,OfPeck
DownArea,PinkPeck
Drag,Waxy
Distance,Evidence
Check,Cigar
DragDistanceCheck,WaxyEvidenceCigar
card,Pose
To,Be
Map,Ago
cardDataToCardMap,PoseLineBeKeelAgo
Save,Shed
Key,Can
SaveKey,ShedCan
undo,File
Stack,Robin
undoStack,FileRobin
Smart,Cedar
Flip,Barb
Probability,Immigration
SmartFlipProbability,CedarBarbImmigration
Is,Up
Win,Urn
Collecting,Exorbitant
IsWinCollecting,UpUrnExorbitant
time,Copy
Counter,Shudder
timeCounter,CopyShudder
Time,Mold
Penalty,Essence
Interval,Demolish
TimePenaltyInterval,MoldEssenceDemolish
Score,Dense
TimePenaltyScore,MoldEssenceDense
last,Feed
lastScorePenaltyTime,FeedDenseEssenceMold
move,Deal
Count,Waist
moveCount,DealWaist
game,Abut
Start,Badge
gameStartTime,AbutBadgeMold
Reward,Starve
Names,Prose
RewardCardNames,StarveKeelProse
UpDeck_RewardCardNames,OfPram_StarveKeelProse
Trigger,Deposit
IsTriggerSpecial,UpDepositBriefly
IsTriggerSpecial_ScratchCard,UpDepositBriefly_ThriftyKeel
IsTriggerSpecial_LuckyWheel,UpDepositBriefly_AwaitFaith
Money,Sonic
IsTriggerSpecial_Money,UpDepositBriefly_Sonic
Slot,Dish
IsTriggerSpecial_Slot,UpDepositBriefly_Dish
Wait,Mime
Game,Kick
WaitSpecialGameIE,MimeBrieflyKickIE
SpecialGameTimeCounter,BrieflyKickMoldShudder
LuckyWheelCount,AwaitFaithWaist
Played,Scarce
IsPlayedSpecialSlot,UpPlayedBrieflyDish
Auto,Taut
Move,Slum
Add,Peg
Pos,Sum
AutoMoveCardAddScoreEffectPos,TautSlumKeelPegDenseGuineaSum
IsFaceUp,UpHighOf
Rewarded,Computer
IsUpAreaRewarded,UpOfPeckComputer
States,Jobber
CardUIStates,KeelUIJobber
MoveCount,SlumWaist
GameTime,KickMold
Name,Stew
ParentName,QuasarStew
ready,Amino
Fly,Sac
FlyX,SacX
Top,Cup
TopY,CupY
Bottom,Grotto
BottomY,GrottoY
Offect,Enamel
OffectY,EnamelY
Anim,Tire
AnimTime,TireMold
Gold,Cast
GoldText,CastMoss
GoldReward,CastStarve
CashText,NoteMoss
CashReward,NoteStarve
Giveup,Violet
Btn,Gem
GiveupBtn,VioletGem
Get,Far
GetBtn,FarGem
Spine,Depot
RewardSpine,StarveDepot
Show,Bind
RewardShowList,StarveBindTrip
Icon,Part
GoldIcon,CastPart
CashIcon,NotePart
ScoreText,DenseMoss
MoveCountText,SlumWaistMoss
TimeText,MoldMoss
Finish,Jobber
Panel,Swear
FinishPanel,FinishSwear
WinPanel,UrnSwear
WinSpine,UrnDepot
Stars,Taint
ShowList,BindTrip
Magic,Carve
Wand,Neon
MagicWand,CarveNeon
StarsStartTF,TaintBadgeTF
StarsEffect,TaintGuinea
Fx,Me
Fx_Show,Me_Bind
Item,Afar
AddScoreItem,PegDenseAfar
star,Germ
starEffect,GermGuinea
Reward_Gold,Starve_Cast
RewardText,StarveMoss
RewardText_Gold,StarveMoss_Cast
Reward_Cash,Starve_Note
RewardText_Cash,StarveMoss_Note
Group,Perry
HSlotGroup,HDishPerry
HSlotBtn,HDishGem
Lose,Soap
LosePanel,SoapSwear
Revive,Graham
ReviveBtn,GrahamGem
Re,He
ReStartBtn,HeBadgeGem
Win_ReStartBtn,Urn_HeBadgeGem
Lose_ReStartBtn,Soap_HeBadgeGem
Setting,Gradual
SettingBtn,GradualGem
Delay,Award
DelayShowGetBtn,AwardBindFarGem
LittleSlot,HiccupDish
_LittleSlot,_HiccupDish
Fill,Gene
LuckyWheel_Fill,AwaitFaith_Gene
Bubble,Avenue
FlyBubble,SacAvenue
_FlyBubble,_SacAvenue
CardParent,KeelQuasar
CardParent_UpDeck,KeelQuasar_OfPram
CardParent_UpArea,KeelQuasar_OfPeck
CardParent_DownArea,KeelQuasar_PinkPeck
CardParent_Drag,KeelQuasar_Waxy
Born,Avid
CardBorn,KeelAvid
Pos_CardBorn,Sum_KeelAvid
Pos_UpDeck_FaceUp,Sum_OfPram_HighOf
Pos_UpDeck_FaceDown,Sum_OfPram_HighPink
Pos_UpArea,Sum_OfPeck
Pos_DownArea,Sum_PinkPeck
FlipBtn,BarbGem
UpDeck_FlipBtn,OfPram_BarbGem
RewardEffect,StarveGuinea
UpArea_RewardEffect,OfPeck_StarveGuinea
UpDeck_RewardEffect,OfPram_StarveGuinea
Tip,May
CardTipBtn,KeelMayGem
CardTip,KeelMay
Showing,Asphalt
isShowingTip,ByAsphaltMay
Message,African
TipMessageText,MayAfricanMoss
TipMessagePanel,MayAfricanSwear
Prop,Genu
TipCount,MayWaist
Prop_TipCount,Genu_MayWaist
Undo,Note
UndoBtn,UndoGem
Mask,Verb
UndoCount,NoteWaist
Prop_UndoCount,Genu_NoteWaist
Price,Bread
PropPrice,GenuBread
Out,Red
CashOutBtn,NoteRedGem
has,Age
hasTip,AgeMay
source,Crisis
sourceCard,CrisisKeel
target,Potato
targetPosition,PotatoCitation
tip,Cat
tipMessage,CatAfrican
Block,Ocher
Center,Extend
Hand,Hope
Info,Bold
Bg,He
InfoBg,BoldBg
Guide,Infer
Index,Dodge
GuideIndex,InferIndex
Next,Open
NextBtn,OpenGem
InfoMoveIE,BoldSlumIE
Button,Gibbon
ADButton,ADGibbon
Level,Dodge
NextLevelButton,OpenLevelGibbon
ADText,ADMoss
SlotBG,DishBG
RewardCashImage,StarveNoteFifth
RewardGoldImage,StarveCastFifth
reward,Valley
rewardValue,ValleyDodge
Clicked,Lifeway
Ad,It
hasClickedAdBtn,AgeLifewayItGem
slider,Wisdom
sliderImage,WisdomFifth
progress,Bachelor
progressText,BachelorMoss
Spin,Pray
SpinBtn,PrayGem
Big,Not
BigWheel,NotFaith
BigWheelItem,NotFaithAfar
Small,Worry
SmallWheel,WorryFaith
SmallWheelText,WorryFaithMoss
Pointer,Rooster
WheelItem,FaithAfar
WheelEffect,FaithGuinea
WheelEffect_1,FaithGuinea_1
Curve,Tepee
WheelCurve,FaithTepee
RewardDataList,StarveLineTrip
Multi,Medal
MultiList,MedalTrip
WinData,UrnLine
BigIndex,NotDodge
SmallIndex,WorryDodge
Sprite,Review
star1Sprite,Germ1Review
star2Sprite,Germ2Review
Prop_Tip,Genu_May
Prop_Tip_Text,Genu_May_Moss
TipReward,MayStarve
Prop_TipReward,Genu_MayStarve
Prop_Undo,Genu_Note
Prop_Undo_Text,Genu_Note_Moss
UndoReward,NoteStarve
Prop_UndoReward,Genu_NoteStarve
SlotGroup,DishPerry
SlotBtn,DishGem
Event,Inuit
FinishEvent,JobberInuit
Watched,Sunrise
IsWatchedAD,UpSunriseAD
EventID,InuitID
Brush,Decay
Radius,Wonder
BrushRadius,DecayWonder
Percent,Emotive
FinishPercent,JobberEmotive
ScratchShowList,ThriftyBindTrip
ShowSpine,BindDepot
IsFinish,UpJobber
Texture,Roadway
MaskTexture,VerbRoadway
MaskImage,VerbFifth
_Texture,_Roadway
Width,Agree
TextureWidth,RoadwayAgree
Height,Milieu
TextureHeight,RoadwayMilieu
Length,Carbon
TextureLength,RoadwayCarbon
Trase,Mouth
TraseLength,MouthCarbon
Camera,Decade
_Camera,_Decade
Last,Bulk
LastPosition,BulkCitation
_LastPosition,_BulkCitation
Target,London
Nums,Mill
TargetNums,LondonMill
Num,Lad
TargetNumTexts,LondonLadVogue
Datas,Modem
ItemDatas,AfarModem
Items,Rural
Numbers,Vestige
ItemNumbers,AfarVestige
Type,Joke
RewardType,StarveJoke
_RewardType,_StarveJoke
RewardValue,StarveDodge
Sound,Agent
Sound_Button,Agent_Gibbon
Music,Leafy
Music_Button,Leafy_Gibbon
Vibrate,Balance
Vibrate_Button,Balance_Gibbon
AutoBtn,TautGem
Continue,Sidewalk
Continue_Button,Sidewalk_Gibbon
Init,Deaf
InitGroup,DeafPerry
ItemSprites,AfarOutflow
template,Ethology
Object,Pepper
templateMultiObject,EthologyMedalPepper
item,Seal
itemWidth,SealAgree
Audio,Fluke
Mgr,Leg
AudioMgr,FlukeLeg
Component,Primitive
Queue,Clump
AudioComponentQueue,FlukePrimitiveClump
Max,Gel
MaxCount,GelWaist
AudioQueue,FlukeClump
bg,On
bgMusic,OnLeafy
m_bgMusic,m_OnLeafy
Play,Haul
Source,Iodine
PlayAudioSourceList,HaulFlukeIodineTrip
CheckInterval,CigarDemolish
Switch,Factor
BgMusicSwitch,HeLeafyFactor
_BgMusicSwitch,_HeLeafyFactor
EffectMusicSwitch,GuineaLeafyFactor
_EffectMusicSwitch,_GuineaLeafyFactor
VibrateSwitch,BalanceFactor
_VibrateSwitch,_BalanceFactor
Volume,Inborn
BgVolume,HeInborn
_BgVolume,_HeInborn
EffectVolume,GuineaInborn
_EffectVolume,_GuineaInborn
BGM,BGM
BGM_Name,BGM_Stew
Dict,Mate
AudioSettingDict,FlukeGradualMate
Round,Amino
Digits,Attend
RoundDigits,RoundAttend
frames,Unless
framerate,Womanhood
ignore,Mildly
Scale,Fifth
ignoreTimeScale,MildlyMoldScale
loop,Ploy
curve,Tepee
image,Story
sprite,Plague
Renderer,Untimely
spriteRenderer,PlagueUntimely
current,Mortise
Frame,Screw
currentFrameIndex,MortiseScrewDodge
timer,Quote
Framerate,Fluctuate
currentFramerate,MortiseFluctuate
Target_Type,London_Joke
Layout,Potato
Layout_Type,Layout_Joke
Run,Old
Run_Time,Old_Mold
Number,Formal
Layout_Number,Potato_Formal
adjust,Shrine
adjustID,ShrineID
sv,Or
Just,Jump
ADJustInitType,ADJumpDeafJoke
sv_ADJustInitType,Or_ADJumpDeafJoke
ADJustTime,ADJumpMold
sv_ADJustTime,Or_ADJumpMold
Revenue,Machine
adjustInitAdRevenue,ShrineDeafItMachine
MAX,MAX
SDK,SDK
KEY,KEY
MAX_SDK_KEY,MAX_SDK_KEY
REWARD,REWARD
MAX_REWARD_ID,MAX_REWARD_ID
INTER,INTER
MAX_INTER_ID,MAX_INTER_ID
retry,Civil
Attempt,Speckle
retryAttempt,CivilSpeckle
isShowingAd,ByAsphaltIt
Network,Anymore
rewardNetworkName,ValleyAnymoreStew
Call,Test
Action,Gossip
rewardCallBackAction,ValleyTestSortGossip
Success,Depress
rewardSuccess,ValleyDepress
rewardIndex,ValleyDodge
interstitial,Quantifiable
interstitialNetworkName,QuantifiableAnymoreStew
interstitialType,QuantifiableJoke
interstitialIndex,QuantifiableDodge
ad,It
Playing,Disgust
Callbacks,Wholesale
adPlayingCallbacks,adDisgustWholesale
application,Unspecified
Pause,Caput
Timestamp,Collision
applicationPauseTimestamp,UnspecifiedCaputCollision
Custom,Potion
RewardAdCustomData,StarveItPotionLine
Interstitial,Expansionist
InterstitialAdCustomData,ExpansionistItPotionLine
dictionary,Understory
dictionaryMessage,UnderstoryAfrican
value,Noble
Bool,Gray
valueBool,NobleGray
valueBool2,NobleGray2
Int,Wit
valueInt,NobleWit
valueInt2,NobleWit2
valueInt3,NobleWit3
Float,Reach
valueFloat,NobleReach
valueFloat2,NobleReach2
Double,Embryo
valueDouble,NobleEmbryo
valueDouble2,NobleEmbryo2
String,Stench
valueString,NobleStench
valueString2,NobleStench2
valueGameObject,NobleKickPepper
valueGameObject2,NobleKickPepper2
valueGameObject3,NobleKickPepper3
valueGameObject4,NobleKickPepper4
Transform,Skeptical
valueTransform,NobleSkeptical
valueStringList,NobleStenchTrip
Vec,Cab
valueVec,NobleCab
valueVec2List,NobleCab2Trip
valueIntList,NobleWitTrip
message,Optical
messageCallBack,OpticalTestSort
vec,Low
vec2_1,Low2_1
vec2_2,Low2_2
Login,Bless
Url,Pit
LoginUrl,BlessPit
Config,Adjoin
ConfigUrl,AdjoinPit
TimeUrl,MoldPit
Adjust,Shroud
AdjustUrl,ShroudPit
Local,Frame
User,Pork
Id,At
LocalUserId,FramePorkAt
sv_LocalUserId,Or_FramePorkAt
Server,Fleshy
LocalServerId,FrameFleshyAt
sv_LocalServerId,Or_FrameFleshyAt
New,Gun
Player,Victim
IsNewPlayer,UpGunVictim
sv_IsNewPlayer,Or_UpGunVictim
Daily,Score
Bouns,Gland
DailyBounsGetCount,ScoreGlandFarWaist
sv_DailyBounsGetCount,Or_ScoreGlandFarWaist
Date,Ward
DailyBounsDate,ScoreGlandWard
sv_DailyBounsDate,Or_ScoreGlandWard
Step,Boat
NewUserStep,GunPorkBoat
sv_NewUserStep,Or_GunPorkBoat
Coin,Slit
GoldCoin,CastSlit
sv_GoldCoin,Or_CastSlit
Cumulative,Generation
CumulativeGoldCoin,GenerationCastSlit
sv_CumulativeGoldCoin,Or_GenerationCastSlit
Token,Goods
sv_Token,Or_Goods
CumulativeToken,GenerationGoods
sv_CumulativeToken,Or_GenerationGoods
Amazon,Entity
sv_Amazon,Or_Entity
CumulativeAmazon,GenerationEntity
sv_CumulativeAmazon,Or_GenerationEntity
Total,Endow
TotalGameTime,EndowKickMold
sv_TotalGameTime,Or_EndowKickMold
First,Befit
FirstGetToken,BefitFarGoods
sv_FirstGetToken,Or_BefitFarGoods
Has,Pul
Rate,Mask
HasShowRatePanel,PulBindMaskSwear
sv_HasShowRatePanel,Or_PulBindMaskSwear
Lottery,Octopus
CumulativeLottery,GenerationOctopus
sv_CumulativeLottery,Or_GenerationOctopus
Already,Pretend
Pass,High
Levels,Member
AlreadyPassLevels,PretendPassMember
sv_AlreadyPassLevels,Or_PretendPassMember
NewUserStepFinish,GunPorkBoatJobber
sv_NewUserStepFinish,Or_GunPorkBoatJobber
task,Jolt
level,Weave
count,Slice
sv_task_level_count,Or_Jolt_Weave_Slice
FirstSlot,BefitDish
sv_FirstSlot,Or_BefitDish
Adid,Yawn
AdjustAdid,ShroudYawn
sv_AdjustAdid,Or_ShroudYawn
trial,First
num,Toy
sv_ad_trial_num,Or_It_First_Toy
total,March
sv_total_ad_num,Or_March_It_Toy
mg,We
Window,Fluffy
Open,Plus
WindowOpen,FluffyPlus
mg_WindowOpen,We_FluffyPlus
Close,First
WindowClose,FluffyClose
mg_WindowClose,We_FluffyClose
ui,Me
levelcomplete,Inconsistency
mg_ui_levelcomplete,We_ui_Inconsistency
addgold,Miocene
mg_ui_addgold,We_Me_Miocene
addtoken,Tapestry
mg_ui_addtoken,We_Me_Tapestry
addamazon,Partition
mg_ui_addamazon,We_Me_Partition
Suspend,Distant
GameSuspend,KickDistant
mg_GameSuspend,We_KickDistant
Change,Uranus
ItemChange,AfarUranus
mg_ItemChange_,We_AfarUranus_
Activity,Colonize
State,Widow
ActivityStateChange,ColonizeWidowUranus
mg_ActivityStateChange_,We_ColonizeWidowUranus_
LevelMaxLevelChange,DodgeGelDodgeUranus
mg_LevelMaxLevelChange,We_DodgeGelDodgeUranus
path,Dirt
path_GoldCoin_Sprite,Dirt_CastSlit_Review
Dimond,Mosaic
path_Token_Sprite_Dimond,Dirt_Goods_Review_Mosaic
TIMEOUT,TIMEOUT
Base,Snow
BaseUrl,SnowPit
BaseLoginUrl,SnowBlessPit
BaseConfigUrl,SnowAdjoinPit
BaseTimeUrl,SnowMoldPit
BaseAdjustUrl,SnowShroudPit
Code,Read
GameCode,KickRead
Channel,Pronoun
country,License
ConfigData,AdjoinLine
InitData,DeafLine
GameData,KickLine
_GameData,_KickLine
Manager,Rancher
adManager,ItRancher
gaid,Chop
aid,Jet
idfa,Cure
ready_count,Amino_Slice
From,Duke
DataFrom,LineDuke
CheckCount,CigarWaist
Tracker,Distend
TrackerName,DistendStew
Event_TrackerName,Inuit_DistendStew
Ok,If
CheckOk,CigarIf
_CheckOk,_CigarIf
Str,Sow
UserDataStr,PorkLineSow
UserData,PorkLine
GetUserInfoCount,FarPorkBoldWaist
text,Cane
GetSuccess,FarDepress
Fail,Gobi
GetFail,FarGobi
DEFAULT,DEFAULT
DEFAULT_TIMEOUT,DEFAULT_TIMEOUT
RETRY,RETRY
COUNT,COUNT
MAX_RETRY_COUNT,MAX_RETRY_COUNT
INTERVAL,INTERVAL
RETRY_INTERVAL,RETRY_INTERVAL
request,Amplify
Tasks,Milky
requestTasks,AmplifyMilky
Net,Toe
Work,Keel
NetWorkGetList,ToeWorkFarTrip
Post,Whim
NetWorkPostList,ToeKeelWhimTrip
URL,URL
Form,Mode
PostSuccess,WhimDepress
PostFail,WhimGobi
targetImage,PotatoFifth
corners,Flaming
Offset,Friend
targetOffsetX,PotatoFriendX
targetOffsetY,PotatoFriendY
material,Initiate
currentOffsetX,MortiseFriendX
currentOffsetY,MortiseFriendY
shrink,Prompt
shrinkTime,PromptMold
event,Piece
Penetrate,Operation
eventPenetrate,PieceOperation
targetWidth,PotatoAgree
targetHeight,PotatoMilieu
Velocity,Quantity
shrinkVelocityX,PromptQuantityX
shrinkVelocityY,PromptQuantityY
center,Barter
Pool,Kind
PoolQueue,KindClump
m_PoolQueue,m_KindClump
PoolName,KindStew
m_PoolName,m_KindStew
m_Parent,m_Quasar
prefab,Sweaty
m_MaxCount,m_GelWaist
Default,Florist
DefaultMaxCount,FloristGelWaist
m_DefaultMaxCount,m_FloristGelWaist
Dic,Hit
PoolDic,KindHit
m_PoolDic,m_KindHit
Root,Root
RootTransform,RootSkeptical
m_RootTransform,m_RootSkeptical
Toast,Groom
ToastText,GroomMoss
need,Them
Refresh,Balcony
needStartRefresh,ThemBadgeBalcony
Adjust_TrackerName,Shroud_DistendStew
AP,AP
Save_AP,Shed_AP
Normal,Recess
Mode,Belt
NormalModeName,RecessBeltStew
Distances,Trumpeter
Reason,Tethys
Log,Wax
StepLog,BoatWax
NumText,LadMoss
Clock,Diver
ClockText,DiverMoss
countdown,Imitation
CloseButton,FirstGibbon
Gift,Whip
GiftItems,WhipRural
Un,If
UnGet,UnFar
Claimed,Counsel
Current,Voyager
ClaimedIcon,CounselPart
ClaimedNum,CounselLad
Collect,Dynamic
CollectButton,DynamicGibbon
Day,Tip
DayIndex,TipDodge
CollectItemPrefab,DynamicAfarQuiver
Rewards,Britain
Container,Attention
RewardsContainer,BritainAttention
GetButton,FarGibbon
Lock,Bent
LockIcon,BentPart
PriceText,BreadMoss
ItemBG,AfarBG
itemDB,SealDB
Locked,Sample
isLocked,BySample
CloseBtn,FirstGem
Endless,Quitter
EndlessItemPrefab,QuitterAfarQuiver
endless,Airport
endlessItemList,AirportAfarTrip
uiIndex,MeDodge
Progress,Maneuver
Bar,Man
ProgressBar,ManeuverMan
RewardIcon,StarvePart
box,Leg
Health,Wander
HealthNumText,WanderLadMoss
Countdown,Foodstuff
HealthCountdownText,WanderFoodstuffMoss
GoldBar,CastMan
Diamond,Magenta
DiamondBar,MagentaMan
HealthBar,WanderMan
PlayButton,HaulGibbon
resource,Ironwork
resourceType,IronworkJoke
AutoChange,TautUranus
old,End
oldNum,EndLad
Active,Refute
Color,Eager
ActiveBgColor,RefuteHeEager
DefaultBgColor,FloristHeEager
ActiveTextColor,RefuteMossEager
DefaultTextColor,FloristMossEager
Ranking,Livable
RankingText,LivableMoss
Avatar,Purify
UserName,PorkStew
Resource,Overhead
ResourceBar,OverheadMan
ResourceImage,OverheadFifth
ResourceText,OverheadMoss
RewardButton,StarveGibbon
Rank,Love
RankSprites,LoveOutflow
RewardSprites,StarveOutflow
Canvas,Grotto
RewardCanvas,StarveCanvas
RewardContainer,StarveAttention
RankRewardPrefab,LoveStarveQuiver
RankItemPrefab,LoveAfarQuiver
RankItemContainer,LoveAfarAttention
Claim,Wrong
ClaimButton,WrongGibbon
My,He
MyRankItem,MyLoveAfar
Main,Limy
RankId,LoveAt
RankItemHeight,LoveAfarMilieu
rank,Hail
rankItems,HailRural
lastRankIndex,FeedLoveDodge
Buy,Hot
BuyButton,HotGibbon
Title,Delft
RewardCount,StarveWaist
BuyIcon,HotPart
BuyButtonText,HotGibbonMoss
Content,Totally
RewardItemContent,StarveAfarTotally
Tag,But
TipTag,MayBut
Discount,Reappear
DiscountTag,ReappearBut
DiscountText,ReappearMoss
shop,Pont
shopPanel,PontSwear
single,Dollar
singleMode,DollarBelt
Shop,Soda
ShopItems,SodaRural
ItemIcon,AfarPart
ItemNum,AfarLad
AdjustAdidText,ShroudYawnMoss
ServerIdText,FleshyAtMoss
Act,Ice
ActCounterText,IceShudderMoss
AdjustTypeText,ShroudJokeMoss
Reset,Burst
ResetActCountButton,BurstIceWaistGibbon
AddActCountButton,PegIceWaistGibbon
LastPlayTimeCounterText,BulkHaulMoldShudderMoss
Counter101Text,Shudder101Moss
Counter102Text,Shudder102Moss
Counter103Text,Shudder103Moss
Trial,Rally
TrialNumText,RallyLadMoss
PlayRewardedAdButton,HaulComputerItGibbon
PlayInterstitialAdButton,HaulExpansionistItGibbon
No,If
Thanks,Corona
NoThanksButton,NoCoronaGibbon
TrialNumButton,RallyLadGibbon
TimeInterstitialText,MoldExpansionistMoss
PauseTimeInterstitialButton,CaputMoldExpansionistGibbon
Resume,Repute
ResumeTimeInterstitialButton,ReputeMoldExpansionistGibbon
msgs,Nose
daily,Vogue
Gifts,Storm
dailyGifts,dailyStorm
Treasures,Statuette
endlessTreasures,AirportStatuette
currentIndex,MortiseDodge
Attend,Lordly
Times,Brook
currentAttendTimes,MortiseLordlyBrook
ShopId,SodaAt
boxes,Enemy
Update,Solder
lastUpdateTime,FeedSolderMold
unlimited,Celebrity
unlimitedTime,CelebrityMold
Groups,Modern
itemGroups,SealModern
levelDic,WeaveHit
currentLevelIndex,MortiseDodgeDodge
max,Wee
maxLevelIndex,WeeDodgeDodge
health,Carpet
Cost,Some
healthCost,CarpetSome
ranks,Hypha
user,They
userNames,TheyProse
shops,Glean
shopDict,PontMate
skins,Brave
skin,Dash
skinDict,DashMate
Types,Carve
skinTypes,DashTypes
active,Cavern
Skin,Moat
activeSkin,CavernMoat
attend,Rotate
attendTimes,RotateBrook
period,Offset
periodStartTime,OffsetBadgeMold
End,Rid
periodEndTime,OffsetRidMold
data,Mark
boxLevelData,LegDodgeLine
currentValue,MortiseDodge
Lv,My
currentLv,MortiseMy
currentProgress,MortiseManeuver
type,Mode
value_type,Noble_type
comment,Willing
icon,Gram
default,Contend
defaultValue,ContendDodge
min,Lid
minValue,LidDodge
maxValue,WeeDodge
id,To
item_id,Seal_To
item_num,Seal_Toy
itemgroup,Infantile
itemgroup_id,Infantile_To
gp,Be
pid,Bid
gp_pid,gp_Bid
ios,May
ios_pid,ios_Bid
shop_icon,Pont_Gram
title,Price
purchase,Nobility
purchase_type,Nobility_Mode
price,Guest
show,Open
is_show,By_show
box_id,Leg_To
exp,Use
key,Fix
exp_key,Use_Fix
exp_value,Use_Noble
item_value,Seal_Noble
skin_type,Dash_Mode
unlock,Abound
unlock_type,Abound_Mode
