Need,Tele
CalculateState,BasicallyWidow
ChangeActivityState,UranusColonizeWidow
Period,Figure
StartNewPeriod,BadgeGunFigure
AttendActivity,LordlyColonize
Settlement,Fertilizer
NeedShow,TeleBind
SetSettingData,CudGradualLine
GetBoxLevelDataByLv,FarTugDodgeLineSoMy
GetBoxLevelDataFromLv,FarTugDodgeLineDukeMy
AddCurrentValue,PegVoyagerDodge
CalculateLv,BasicallyMy
AddValue,PegDodge
SetValue,CudDodge
AddStartTimes,PegBadgeBrook
AddVictoryTimes,PegUntwistBrook
SetRewards,CudBritain
CalculateRank,BasicallyLove
GetRewardByRanking,FarStarveSoLivable
ClearData,HeavyLine
AddNum,PegLad
CanBuy,TheHot
SetActive,CudRefute
SaveData,ShedLine
HandleInterval,CrayonDemolish
GetAppSettingMaxNumber,FarGutGradualGelFormal
Analysis,Radiator
InitAndAnalysisJson,DeafBusRadiatorAmid
Msg,Oat
Listener,Mongolia
AddMsgListener,PegOatMongolia
RemoveMsgListener,SteadyOatMongolia
ClearAllMsgListener,HeavyRotOatMongolia
SendMessage,LeafAfrican
Asset,Ensue
LoadAsset,RockEnsue
SetMaskWindow,CudVerbFluffy
HideMaskWindow,SendVerbFluffy
CancelMaskWindow,GeniusVerbFluffy
The,Sow
Child,Dream
FindTheChildNode,SealTheDreamWhig
GetTheChildNodeComponentScripts,FarSowDreamWhigPrimitiveFlatter
AddChildNodeComponent,PegDreamWhigPrimitive
AddChildNodeToParentNode,PegDreamWhigBeQuasarWhig
ShowText,BindMoss
InitLauguageCache,DeafAnalysisDraft
FindChildAddComponent,SealDreamPegPrimitive
Freeze,Radius
Rigister,Sentence
RigisterButtonObjectEvent,SentenceGibbonPepperInuit
OpenUIForm,PlusUIMode
CloseUIForm,FirstUIMode
Receive,Neutron
ReceiveMessage,NeutronAfrican
AddPanel,PegSwear
SubPanel,SewSwear
Loading,Currier
InitRootCanvasLoading,DeafRootGrottoCurrier
ShowUIForms,BindUIPlace
Or,To
Return,Tavern
CloseOrReturnUIForms,FirstOrTavernUIPlace
ShowNextPopUp,BindOpenEkeOf
ClearWaitUIForms,HeavyMimeUIPlace
Catch,Salty
LoadFormsToALLUIFormsCatch,RockPlaceBeALLUIPlaceSalty
LoadUIForm,RockUIMode
EnterUIFormsCache,CraftUIPlaceDraft
ExitUIFormsCache,FishUIPlaceDraft
Formst,Assign
Other,Rayon
EnterUIFormstToCacheHideOther,CraftUIAssignBeDraftSendRayon
EnterUIFormsCacheWaitClose,CraftUIPlaceDraftMimeFirst
ExitUIFormsFromCacheAndShowOther,FishUIPlaceDukeDraftBusBindRayon
Push,Cute
PushUIForms,CuteUIPlace
PopUIForms,EkeUIPlace
InitUIFormsPathsData,DeafUIPlaceFieldLine
InitCamera,DeafDecade
ClearStackArray,HeavyRobinQuick
GetCurrentFormStack,FarVoyagerModeRobin
GetPanelByName,FarSwearSoStew
Opening,Prodigy
GetOpeningPanels,FarProdigyDiffer
ChangeShowState,UranusBindWidow
OpenNext,PlusOpen
PlayCollectAnimation,HaulDynamicSteamship
Clean,Array
CleanParent,ArrayQuasar
StartAnimation,BadgeSteamship
CreateItemObj,DugoutAfarBur
GetCollectionData,FarConsultantLine
RegisterCollectionComponent,IroquoisConsultantPrimitive
Insert,Attain
InsertSequence,AttainInstinct
OpenCollectEffectPanel,PlusDynamicGuineaSwear
RefreshLayout,BalconyPotato
Apply,Trail
ApplySafeArea,TrailWeltPeck
RefreshProgress,BalconyManeuver
OpenTab,PlusZoo
ActiveBgAnimation,RefuteHeSteamship
RegisterCallback,IroquoisVariance
SetActiveUI,CudRefuteUI
pagechange,Woodpecker
SetPageIndex,CudTaleDodge
UpdateItem,SolderAfar
PopItem,EkeAfar
PushItem,CuteAfar
AddItem,PegAfar
Controller,Revolution
AnimationController,SteamshipRevolution
CustomPrint,PotionAhead
Dictionaries,Unacceptable
MergeDictionaries,MoistUnacceptable
System,Farmer
GetSystemData,FarFarmerLine
Outline,Mistake
MultiOutline,MedalMistake
NotificationManager,ConstructionRancher
TextOutline,MossMistake
TimeManager,MoldRancher
Klondike_Manager,Freezing_Rancher
CardData,KeelLine
KlondikeGameState,FreezingKickWidow
CardUIState,KeelUIWidow
GameDataManager,KickLineRancher
MainManager,LimyRancher
FlyBubbleRewardPanel,SacAvenueStarveSwear
GamePanel,KickSwear
GuidePanel,InferSwear
Complete,Skeletal
LevelCompletePanel,DodgeSkeletalSwear
LoadingPanel,CurrierSwear
LuckyWheelPanel,AwaitFaithSwear
Us,Be
RateUsPanel,MaskUsSwear
RewardPanel,StarveSwear
ScratchPanel,ThriftySwear
ScratchCardItemData,ThriftyKeelAfarLine
SettingPanel,GradualSwear
Model,Lvory
AudioModel,FlukeLvory
AudioSourceQueue,FlukeIodineClump
MusicMgr,LeafyLeg
Resources,Expansion
MusicResourcesMgr,LeafyExpansionLeg
MusicType,LeafyJoke
Common,Unfold
CommonConfig,UnfoldAdjoin
SaveDataManager,ShedLineRancher
Animator,Tropical
FrameAnimator,ScrewTropical
Archor,Letter
Tool,Taut
ArchorTool,LetterTool
AutoLayout,TautPotato
AdjustInitManager,ShroudDeafRancher
ADManager,ADRancher
CustomData,PotionLine
Ad_CustomData,It_PotionLine
RateUsManager,MaskBeRancher
MessageCenterLogic,AfricanExtendHorse
MessageData,AfricanLine
CConfig,CAdjoin
NetInfoMgr,ToeBoldLeg
Script,Remove
PostEventScript,WhimInuitRemove
NetWorkGetObject,ToeKeelFarPepper
NetWorkManager,ToeKeelRancher
Task,Wood
RequestTask,PortendWood
NetWorkPostObject,ToeKeelWhimPepper
Guidance,Populate
GuidanceEventPenetrate,PopulateInuitOperation
NewUserGuidePanel,GunPorkInferSwear
RectGuideMask,SoulInferVerb
ObjectPool,PepperKind
ObjectPoolManager,PepperKindRancher
Mono,Tilt
Singleton,Digestion
MonoSingleton,TiltDigestion
ToastManager,GroomRancher
View,Oval
ScrollViewContentLayout,QuasarOvalTotallyPotato
Util,Gate
CommonUtil,UnfoldGate
DateUtil,WardGate
NumberUtil,FormalGate
RandomUtil,SalineGate
StringUtil,StenchGate
RewardItemUI,StarveAfarUI
TimeUI,MoldUI
DailyGiftPanel,ScoreWhipSwear
GiftItemUI,WhipAfarUI
EndlessItemUI,QuitterAfarUI
EndlessTreasurePanel,QuitterClearingSwear
GoldBoxCollectItemUI,CastTugDynamicAfarUI
HealthUI,WanderUI
Home,Wool
HomePanel,WoolSwear
ItemBarUI,AfarManUI
Simple,Impend
SimpleCollectItemUI,ImpendDynamicAfarUI
RankItemUI,LoveAfarUI
RankStarPanel,LoveFordSwear
RemoveAdPanel,SteadyItSwear
ShopItemUI,SodaAfarUI
ShopPanel,SodaSwear
ShopRewardItemUI,SodaStarveAfarUI
SkinPanel,MoatSwear
AdjustTestPanel,ShroudLifeSwear
AdManagerTestPanel,ItRancherLifeSwear
Error,Sense
ErrorCodeMessage,SenseReadAfrican
Ctrl,Peak
ActivityCtrl,ColonizePeak
ActivityDailyGiftCtrl,ColonizeScoreWhipPeak
ActivityEndlessTreasureCtrl,ColonizeQuitterClearingPeak
ActivityRemoveAdCtrl,ColonizeSteadyItPeak
ExpBoxCtrl,SetTugPeak
GameSettingCtrl,KickGradualPeak
HealthCtrl,WanderPeak
ItemGroupCtrl,AfarPerryPeak
LevelCtrl,DodgePeak
RankCtrl,LovePeak
ResourceCtrl,OverheadPeak
ShopCtrl,SodaPeak
SkinCtrl,MoatPeak
ActivityData,ColonizeLine
ExpBox,SetTug
ExpBoxData,SetTugLine
GameSettingDB,KickGradualDB
ItemDB,AfarDB
ItemGroupDB,AfarPerryDB
ShopDB,SodaDB
ExpBoxDB,SetTugDB
SkinDB,MoatDB
ActivityDB,ColonizeDB
ActivityDailyGiftDB,ColonizeScoreWhipDB
ActivityEndlessTreasureDB,ColonizeQuitterClearingDB
RankDB,LoveDB
RankRewardDB,LoveStarveDB
ResourceDB,OverheadDB
SettingDB,GradualDB
ActivityCtrlDB,ColonizePeakDB
ItemData,AfarLine
ItemGroup,AfarPerry
LevelData,DodgeLine
RankData,LoveLine
RankUser,LovePork
ShopData,SodaLine
SkinData,MoatLine
DataManager,LineRancher
ConfigManagerByJson,AdjoinRancherSoAmid
KeyValuesInfo,CanClosetBold
KeyValuesNode,CanClosetWhig
Sys,Tin
Define,Mammal
SysDefine,TinMammal
EventTriggerListener,InuitDepositMongolia
MessageCenter,AfricanExtend
KeyValuesUpdate,CanClosetSolder
Anlysis,Pretend
Exception,Weightily
JsonAnlysisException,AmidAnlysisWeightily
ResourcesMgr,ExpansionLeg
UIMaskMgr,UIVerbLeg
Helper,Simply
UnityHelper,ServeSimply
LauguageMgr,AnalysisLeg
BaseUIForms,SnowUIPlace
UIManager,UIRancher
UIFormParams,UIModeWarmth
UIType,UIJoke
BaseActivityPrefab,SnowColonizeQuiver
ActivityAutoOpenManager,ColonizeTautPlusRancher
CollectEffect,DynamicGuinea
CollectItemData,DynamicAfarLine
CollectEndTransform,DynamicRidSkeptical
CollectManager,DynamicRancher
Vertical,Ductless
AutoLayoutVertical,TautPotatoDuctless
Adapter,Neonate
SafeAreaAdapter,WeltPeckNeonate
ProgressUI,ManeuverUI
TabItem,ZooAfar
TabController,ZooRevolution
TabItemController,ZooAfarRevolution
Control,Fortune
MaskControl,VerbFortune
PageView,TaleOval
ScrollView,QuasarOval
ScrollViewItem,QuasarOvalAfar
Tile,Gold
Fish,Vast
TileFishIcon,GoldVastPart
btn,Fan
btn_01,Fan_01
btn_02,Fan_02
Coins,Fault
huodongjiemian,Countercurrent
huodongjiemian_04,Countercurrent_04
huodongjiemian_04_1,Countercurrent_04_1
huodongjiemian_04_2,Countercurrent_04_2
huodongjiemian_04_3,Countercurrent_04_3
line,Urge
line_btn,Urge_Fan
Lvbis,Urban
bg_02,On_02
board,Depot
bg_board,On_Depot
bottom,Handle
bg_bottom,On_Handle
huodongjiemian_01,Countercurrent_01
huodongjiemian_10,Countercurrent_10
huodongjiemian_11,Countercurrent_11
huodongjiemian_12,Countercurrent_12
huodongjiemian_12_1,Countercurrent_12_1
huodongjiemian_12_3,Countercurrent_12_3
huodongjiemian_12_4,Countercurrent_12_4
huodongjiemian_13,Countercurrent_13
UI,UI
UI_DailyGift,UI_ScoreWhip
bg_01,On_01
clock,Count
clock_01,Count_01
clock_02,Count_02
huodongdakuang,Disappointment
huodongdakuang1,Disappointment1
huodongdakuang2,Disappointment2
huodongdakuang3,Disappointment3
huodongjiemian_15,Countercurrent_15
lock,Move
UI_Endless_Icon,UI_Quitter_Part
circle,Bubbly
Circle,Option
Circle01,Option01
Circle02,Option02
Circle03,Option03
Circle04,Option04
boke,Tire
circle_boke01,Bubbly_Tire01
soft,Hoof
circle_soft02,Bubbly_Hoof02
cloud,Trait
cloud02,Trait02
x,x
cloud_2x2_soft,Trait_2x2_Hoof
Effects,Achieve
Effects_Circle,Achieve_Option
Glow,Moth
Effects_Glow,Achieve_Moth
GlowCircle,MothOption
Effects_GlowCircle,Achieve_MothOption
flare,Epoch
flare01 1,Epoch01 1
flare01,Epoch01
flare03,Epoch03
glow,Shun
glow1,Shun1
leaf,Obey
leaf_3x3,Obey_3x3
Light,Strap
Light01,Strap01
Ray,Tar
Ray01,Tar01
ring,Slay
ring02,Slay02
spikes,Output
spikes03,Output03
star01 1,Germ01 1
Star01,Ford01
Star02,Ford02
triangle,Sunlight
triangle_curve,Sunlight_Tepee
t,t
trail,Glial
t_trail01,t_Glial01
FxGoldIcon,MeCastPart
UI_FxGoldIcon,UI_MeCastPart
home,Emit
home_btn_05,Emit_Fan_05
robox,Coast
AmazonIcon,EntityPart
UI_AmazonIcon,UI_EntityPart
Blue,Rain
BtnBlue,GemRain
UI_BtnBlue,UI_GemRain
Green,Dimly
BtnGreen,GemDimly
UI_BtnGreen,UI_GemDimly
CashOutBG,NoteRedBG
UI_CashOutBG,UI_NoteRedBG
Con,Nss
HomeCashICon,WoolNoteINss
UI_HomeCashICon,UI_WoolNoteINss
HomeGoldIcon,WoolCastPart
UI_HomeGoldIcon,UI_WoolCastPart
UI_Progress,UI_Maneuver
ProgressBG,ManeuverBG
UI_ProgressBG,UI_ManeuverBG
TopBarBG,CupManBG
UI_TopBarBG,UI_CupManBG
PopBG,EkeBG
UI_PopBG,UI_EkeBG
UI_PopBG_1,UI_EkeBG_1
loading,Brother
loadingBG,BrotherBG
UI_loadingBG,UI_BrotherBG
LoadingIcon,CurrierPart
UI_LoadingIcon,UI_CurrierPart
LoadingProgress,CurrierManeuver
UI_LoadingProgress,UI_CurrierManeuver
LoadingProgressBG,CurrierManeuverBG
UI_LoadingProgressBG,UI_CurrierManeuverBG
UI_Hand,UI_Hope
UI_Hand_Ani_1,UI_Hope_Lug_1
UI_Hand_Ani_2,UI_Hope_Lug_2
UI_Hand_Ani_3,UI_Hope_Lug_3
UI_Hand_Ani_4,UI_Hope_Lug_4
UI_Hand_Ani_5,UI_Hope_Lug_5
UI_Hand_Ani_6,UI_Hope_Lug_6
UI_Hand_Ani_7,UI_Hope_Lug_7
UI_Hand_Ani_8,UI_Hope_Lug_8
UI_Hand_Ani_9,UI_Hope_Lug_9
NewPlayTextBG,GunHaulMossBG
UI_NewPlayTextBG,UI_GunHaulMossBG
PauseButton,CaputGibbon
UI_PauseButton,UI_CaputGibbon
PopButton,EkeGibbon
UI_PopButton,UI_EkeGibbon
UI_PopButton_1,UI_EkeGibbon_1
PopClose,EkeFirst
UI_PopClose,UI_EkeFirst
0,0
2-1,2-1
2-2,2-2
bg_title_01,On_Price_01
huodongjiemian_16,Countercurrent_16
icon_item_22,Gram_Seal_22
kuang,Marsh
kuang1,Marsh1
Ranking1,Livable1
Ranking2,Livable2
Ranking3,Livable3
Reward1,Starve1
Reward2,Starve2
Reward3,Starve3
Reward4,Starve4
shop_bg1,Pont_On1
shop_bg2,Pont_On2
tab_bg,Bee_On
tab_bg_active,Bee_On_Cavern
text1,Cane1
tongxingzheng,Realistically
tongxingzheng_01,Realistically_01
LevelPopStar,DodgeEkeFord
UI_LevelPopStar,UI_DodgeEkeFord
LevelPopStarBG,DodgeEkeFordBG
UI_LevelPopStarBG,UI_DodgeEkeFordBG
RateBG,MaskBG
UI_RateBG,UI_MaskBG
RateBtn,MaskGem
UI_RateBtn,UI_MaskGem
bg_02_4,On_02_4
bg_bottom_3,On_Handle_3
huodongjiemian_01_2,Countercurrent_01_2
ui_btn_15_03,Me_Fan_15_03
UI_RemoveAd,UI_SteadyIt
Ban,Use
BanMusicIcon,UseLeafyPart
UI_BanMusicIcon,UI_UseLeafyPart
BanSoundIcon,UseAgentPart
UI_BanSoundIcon,UI_UseAgentPart
MusicIcon,LeafyPart
UI_MusicIcon,UI_LeafyPart
PauseBar,CaputMan
UI_PauseBar,UI_CaputMan
SoundIcon,AgentPart
UI_SoundIcon,UI_AgentPart
pack,Fame
bg_pack1,On_Fame1
bg_title_02,On_Price_02
icon_bg_01,Gram_On_01
icon_bg_02,Gram_On_02
light_pack1,Messy_Fame1
shop_bg_02,Pont_On_02
,
,
LevelPopCardBG,DodgeEkeKeelBG
UI_LevelPopCardBG,UI_DodgeEkeKeelBG
LevelPop,DodgeEke
UI_LevelPop_SlotBG,UI_DodgeEke_DishBG
SlotCard,DishKeel
UI_LevelPop_SlotCard,UI_DodgeEke_DishKeel
SlotPop,DishEke
UI_LevelPop_SlotPop,UI_DodgeEke_DishEke
UI_SlotBG,UI_DishBG
icon_btn_14_03,Gram_Fan_14_03
icon_btn_14_05,Gram_Fan_14_05
ui_btn_01_02,Me_Fan_01_02
Award,Rebel
AD,AD
Bubble_Award_AD,Avenue_Rebel_AD
base,Shin
Bubble_Award_base,Avenue_Rebel_Shin
blue,Wind
Bubble_Award_blue,Avenue_Rebel_Wind
Bubble_Award_blue_button,Avenue_Rebel_Wind_Notice
Bubble_Award_diamond,Avenue_Rebel_Shatter
floor,Brood
Bubble_Award_floor,Avenue_Rebel_Brood
green,Stiff
Bubble_Award_green,Avenue_Rebel_Stiff
Bubble_Award_green_button,Avenue_Rebel_Stiff_Notice
Bubble_Award_icon,Avenue_Rebel_Gram
orang,Syrup
Bubble_Award_orang,Avenue_Rebel_Syrup
purple,Vanish
Bubble_Award_purple,Avenue_Rebel_Vanish
red,Tin
Bubble_Award_red,Avenue_Rebel_Tin
Selected,Adoption
Bubble_Award_Selected,Avenue_Rebel_Adoption
Bubble_Award_star,Avenue_Rebel_Germ
Bubble_Award_title,Avenue_Rebel_Price
Currency,Pavement
Awards,Turnip
Currency_Awards_AD,Pavement_Turnip_AD
Currency_Awards_base,Pavement_Turnip_Shin
Currency_Awards_blue,Pavement_Turnip_Wind
Currency_Awards_blue_button,Pavement_Turnip_Wind_Notice
Currency_Awards_diamond,Pavement_Turnip_Shatter
Currency_Awards_floor,Pavement_Turnip_Brood
Currency_Awards_green,Pavement_Turnip_Stiff
Currency_Awards_green_button,Pavement_Turnip_Stiff_Notice
Currency_Awards_icon,Pavement_Turnip_Gram
Currency_Awards_orang,Pavement_Turnip_Syrup
Currency_Awards_Pop,Pavement_Turnip_Eke
Currency_Awards_purple,Pavement_Turnip_Vanish
Currency_Awards_red,Pavement_Turnip_Tin
Currency_Awards_Selected,Pavement_Turnip_Adoption
Currency_Awards_star,Pavement_Turnip_Germ
Currency_Awards_title,Pavement_Turnip_Price
1,1
2,2
3,3
4,4
5,5
Bottom1,Grotto1
Bottom2,Grotto2
Bottom3,Grotto3
Bottom4,Grotto4
Bottom5,Grotto5
Bottom6,Grotto6
bubble,Sodium
bubble 1,Sodium 1
coin,Loan
effect,Midair
effect_1,Midair_1
general,Woodcut
jiaobiao,Negative
king,Ward
pingjiaxing,Informative
pingjiaxing1,Informative1
pingjiaxingdi,Receptiveness
progress1,Bachelor1
top,Cod
progress_top,Bachelor_Cod
prompt,Easter
Prop_base,Genu_Shin
queen,Fifty
settings,Relevant
point,Elite
star_point,Germ_Elite
subscript,Recurrent
subscript_card,Recurrent_Pose
subscript_card_1,Recurrent_Pose_1
subscript_coin,Recurrent_Loan
subscript_coin_1,Recurrent_Loan_1
subscript_diamond,Recurrent_Shatter
subscript_diamond_1,Recurrent_Shatter_1
wheel,Twain
subscript_wheel,Recurrent_Twain
subscript_wheel_1,Recurrent_Twain_1
wheel_bottom,Twain_Handle
withdraw,Elephant
UI_Lose_AD,UI_Soap_AD
UI_Lose_blue_button,UI_Soap_Wind_Notice
UI_Lose_board,UI_Soap_Depot
UI_Lose_box,UI_Soap_Leg
UI_Lose_box1,UI_Soap_Leg1
UI_Lose_floor,UI_Soap_Brood
UI_Lose_floor1,UI_Soap_Brood1
UI_Lose_green_button,UI_Soap_Stiff_Notice
UI_Lose_line,UI_Soap_Urge
wand,Ring
UI_Lose_Magic_wand,UI_Soap_Carve_Ring
UI_Lose_title,UI_Soap_Price
wheat,Reuse
UI_Lose_wheat,UI_Soap_Reuse
UI_Lose_wheat1,UI_Soap_Reuse1
UI_Lose_wheat2,UI_Soap_Reuse2
diban,Shear
quanzhu,Shatter
UI_Scratch_Card_board,UI_Thrifty_Keel_Depot
UI_Scratch_Card_coin,UI_Thrifty_Keel_Loan
di,Ox
UI_Scratch_Card_di,UI_Thrifty_Keel_Ox
UI_Scratch_Card_diamond,UI_Thrifty_Keel_Shatter
UI_Scratch_Card_floor,UI_Thrifty_Keel_Brood
lucky,Court
number,Graham
UI_Scratch_Card_lucky_number,UI_Thrifty_Keel_Court_Graham
persimmon,Authentic
UI_Scratch_Card_persimmon,UI_Thrifty_Keel_Authentic
UI_Scratch_Card_persimmon1,UI_Thrifty_Keel_Authentic1
UI_Scratch_Card_persimmon2,UI_Thrifty_Keel_Authentic2
UI_Scratch_Card_persimmon3,UI_Thrifty_Keel_Authentic3
UI_Scratch_Card_top,UI_Thrifty_Keel_Cod
Winning,Manager
UI_Winning_box,UI_Manager_Leg
UI_Winning_box_top,UI_Manager_Leg_Cod
UI_Winning_wheat2,UI_Manager_Reuse2
Settings,Artistic
Settings_button,Artistic_Notice
Settings_button1,Artistic_Notice1
Floor,Frill
Settings_button_Floor,Artistic_Notice_Frill
Settings_button_Floor1,Artistic_Notice_Frill1
Settings_close,Artistic_Stuff
Settings_floor,Artistic_Brood
music,Level
Settings_music,Artistic_Level
sound,Saint
Settings_sound,Artistic_Saint
vibrate,Orogeny
Settings_vibrate,Artistic_Orogeny
zidong,Picnic
6,6
7,7
8,8
9,9
Slots,Fauna
UI_Slots_blue_button,UI_Fauna_Wind_Notice
UI_Slots_green_button,UI_Fauna_Stiff_Notice
UI_Slots_light,UI_Fauna_Messy
UI_Slots_lucky,UI_Fauna_Court
UI_Slots_pointer,UI_Fauna_Stinger
pull,Wind
rod,Cow
UI_Slots_pull_rod,UI_Fauna_Wind_Cow
pumpkin,Charter
UI_Slots_pumpkin,UI_Fauna_Charter
seven,Horde
UI_Slots_seven,UI_Fauna_Horde
slots,Taint
UI_Slots_slots,UI_Fauna_Taint
UI_Slots_Wheel_floor,UI_Fauna_Faith_Brood
Shadow,Willow
UI_Slots_Wheel_Shadow,UI_Fauna_Faith_Willow
Light_1,Strap_1
Light_2,Strap_2
UI_Wheel_base,UI_Faith_Shin
UI_Wheel_center,UI_Faith_Barter
UI_Wheel_coin,UI_Faith_Loan
UI_Wheel_diamond,UI_Faith_Shatter
External,Reorient
turntable,Therefore
UI_Wheel_External turntable,UI_Faith_Reorient Therefore
Inner,Small
UI_Wheel_Inner turntable,UI_Faith_Small Therefore
UI_Wheel_pointer,UI_Faith_Stinger
UI_Wheel_prompt,UI_Faith_Easter
UI_Wheel_withdraw,UI_Faith_Elephant
UI_Winning_base,UI_Manager_Shin
UI_Winning_blue,UI_Manager_Wind
UI_Winning_board,UI_Manager_Depot
sweep,Sense
away,Lean
UI_Winning_box_title_sweep away,UI_Manager_Leg_Price_Sense Lean
UI_Winning_coin,UI_Manager_Loan
UI_Winning_diamond,UI_Manager_Shatter
stars,Scrap
UI_Winning_Empty_stars,UI_Manager_Stash_Scrap
UI_Winning_floor,UI_Manager_Brood
fruit,Badge
UI_Winning_fruit,UI_Manager_Badge
UI_Winning_green,UI_Manager_Stiff
UI_Winning_light,UI_Manager_Messy
orange,Review
UI_Winning_orange,UI_Manager_Review
Purple,Helium
UI_Winning_Purple,UI_Manager_Helium
UI_Winning_red,UI_Manager_Tin
UI_Winning_Selected,UI_Manager_Adoption
UI_Winning_star,UI_Manager_Germ
tille,Brand
UI_Winning_tille,UI_Manager_Brand
UI_Winning_wheat,UI_Manager_Reuse
UI_Winning_wheat1,UI_Manager_Reuse1
Sound_BGM,Agent_BGM
SFX,SFX
BigWin,NotUrn
SFX_BigWin,SFX_NotUrn
CardCollect,KeelDynamic
SFX_CardCollect,SFX_KeelDynamic
Link,Pest
CardLink,KeelPest
SFX_CardLink,SFX_KeelPest
CardOpen,KeelPlus
SFX_CardOpen,SFX_KeelPlus
CardSet,KeelCud
SFX_CardSet,SFX_KeelCud
CardSwitch,KeelFactor
SFX_CardSwitch,SFX_KeelFactor
SFX_Coin,SFX_Slit
SFX_Diamond,SFX_Magenta
Eed,Foe
Lost,Work
EedLostGame,FoeWorkKick
SFX_EedLostGame,SFX_FoeWorkKick
EndSuccessGame,RidDepressKick
SFX_EndSuccessGame,SFX_RidDepressKick
SFX_FlyBubble,SFX_SacAvenue
LuckyWheelCollection,AwaitFaithConsultant
SFX_LuckyWheelCollection,SFX_AwaitFaithConsultant
LuckyWheelOpen,AwaitFaithPlus
SFX_LuckyWheelOpen,SFX_AwaitFaithPlus
Rolling,Topical
LuckyWheelRolling,AwaitFaithTopical
SFX_LuckyWheelRolling,SFX_AwaitFaithTopical
LuckyWheelStop,AwaitFaithFloe
SFX_LuckyWheelStop,SFX_AwaitFaithFloe
SFX_Scratch,SFX_Thrifty
ScratchGetReward,ThriftyFarStarve
SFX_ScratchGetReward,SFX_ThriftyFarStarve
SFX_Slots,SFX_Fauna
SlotsGetReward,FaunaFarStarve
SFX_SlotsGetReward,SFX_FaunaFarStarve
Rotate,Across
SlotsRotate,FaunaAcross
SFX_SlotsRotate,SFX_FaunaAcross
SFX_Wand,SFX_Neon
Sound_GoldCoin,Agent_CastSlit
Arm,Mar
Bandit,Squeak
OneArmBandit,JoyMarSqueak
Sound_OneArmBandit,Agent_JoyMarSqueak
Sound_PopShow,Agent_EkeBind
UIButton,UIGibbon
Sound_UIButton,Agent_UIGibbon
ActivityDailyGift,ColonizeScoreWhip
ActivityEndlessTreasure,ColonizeQuitterClearing
ActivityRemoveAd,ColonizeSteadyIt
ButtonGreen,GibbonDimly
ItemBar,AfarMan
RewardItem,StarveAfar
TextBG,MossBG
,
,
,
Item,Afar
,
CashOutPanel,NoteRedSwear
GiftItem,WhipAfar
EndlessItem,QuitterAfar
RankItem,LoveAfar
RankRewardItem,LoveStarveAfar
ShopItem,SodaAfar
Single,Forage
ShopItemSingle,SodaAfarForage
ShopRewardItem,SodaStarveAfar
ErrorCode,SenseRead
ICtrl,IPeak
GameDB,KickDB
IConfigManager,IAdjoinRancher
Particle,Solitary
UIParticleSystem,UISolitaryFarmer

